rowid,name,address,lat,lon,website,phone,category,description,youtubeUrl,images,logo,facebook,instagram,linkedin,tiktok,whatsapp,mainoslinkit,karusellipaino,tyyppi,voimassaolo_loppuu
1,Coronoid Oy,"Majasaarentie 7, 41400 Laukaa",62.2716422,26.19278387,,358503628029,Muu,,,,"https://mediazoo.fi/laukaainfo-web/logos/coronoid.png",,,,,false,"[]",50,ilmainen,
2,Mediazoo,"Salmelantie, 41400 Lievestuore",62.2701331,26.2239567,https://www.mediazoo.fi,358414655290,Muu,"Tarjoan viestinnän ja digiosaamisen tukea laidasta laitaan.","https://www.youtube.com/watch?v=8qDQ3mTqxyA","[""https://drive.google.com/file/d/1Mhuy-3N-KH7FcT88MbgOCjj5k-5i2LGc/view?usp=sharing""]","https://mediazoo.fi/laukaainfo-web/logos/mediazoo.png",https://facebook.com/mediazoo,https://instagram.com/mediazoo,,,true,"[""https://mediazoo.fi/tarjous1"",""https://mediazoo.fi/tarjous2""]",90,maksu,2026-12-31
3,Eevan fysioterapia,"Liepeentie 11, 41400 Laukaa",62.26125505,26.19578855,,358405221063,Kauneus ja terveys,,,,"https://mediazoo.fi/laukaainfo-web/logos/eeva.png",,,,,false,"[]",20,ilmainen,
